"","document","1","2","3"
"1","2 Become 1",0.18559095659656,0.0875464938241998,0.72686254957924
"2","Denying",0.999673184892866,0.000163407553566783,0.000163407553566722
"3","Do It",0.000164549699633809,0.000164549699633808,0.999670900600732
"4","Get Down With Me",0.99936433024261,0.00031783487869499,0.000317834878694992
"5","Goodbye",0.000264309677876274,0.000264309677876324,0.999471380644247
"6","Holler",9.49013148476549e-05,0.999810197370305,9.49013148478686e-05
"7","If U Can’t Dance",0.000108956173306163,0.000108956173306113,0.999782087653388
"8","If You Wanna Have Some Fun",0.112258765274476,0.000186738412161927,0.887554496313362
"9","Last Time Lover",0.999752279149514,0.000123860425243171,0.00012386042524313
"10","Let Love Lead the Way",0.000197716509124182,0.000197716509124101,0.999604566981752
"11","Love Thing",0.877091695920258,0.122770687066794,0.00013761701294747
"12","Mama",0.000179614832421582,0.999640770335157,0.00017961483242139
"13","Move Over",0.00013602671405537,0.000136026714055513,0.999727946571889
"14","Naked",0.999692400440799,0.000153799779600315,0.00015379977960035
"15","Never Give Up on the Good Times",0.000211957286548467,0.00021195728654863,0.999576085426903
"16","Oxygen",0.000165707924268056,0.999668584151464,0.000165707924267882
"17","Right Back At Ya",0.000166882569395538,0.999666234861209,0.000166882569395784
"18","Saturday Night Divas",0.999716479318259,0.000141760340870627,0.000141760340870586
"19","Say You’ll Be There",0.999560248606433,0.000219875696783195,0.00021987569678337
"20","Something Kinda Funny",0.999670900600733,0.000164549699633647,0.000164549699633716
"21","Spice Up Your Life",9.15788355562576e-05,0.999816842328887,9.15788355561775e-05
"22","Stop",0.0305807580755475,0.000185268848211326,0.969233973076241
"23","Tell Me Why",0.000435397739780816,0.975464614401272,0.0240999878589469
"24","The Lady Is a Vamp",0.000180995734759111,0.999638008530482,0.00018099573475915
"25","Time Goes By",0.000235256132865836,0.000235256132865979,0.999529487734268
"26","Too Much",0.99940452656987,0.000297736715064958,0.000297736715064884
"27","Viva Forever",0.000182398034719908,0.000182398034720012,0.99963520393056
"28","Wannabe",0.999714761746287,0.000142619126856384,0.000142619126856164
"29","Wasting My Time",0.000317834878695051,0.99936433024261,0.000317834878694963
"30","Weekend Love",0.000185268848211324,0.999629462303578,0.000185268848211155
"31","Who Do You Think You Are",0.000155835910421849,0.999688328179156,0.000155835910421839
